engine,schema_layer,scale_factor,aggregation_depth,index_mode,repetition,latency_seconds,peak_rss_mb,mean_cpu_pct
duckdb,oltp,1,single_group_by,full_scan,1,0.081378,91.81,142.80
duckdb,oltp,1,single_group_by,full_scan,2,0.026230,117.84,93.80
duckdb,oltp,1,single_group_by,full_scan,3,0.027652,118.12,118.20
duckdb,oltp,1,single_group_by,full_scan,4,0.026956,118.30,75.40
duckdb,oltp,1,single_group_by,full_scan,5,0.028212,118.39,52.60
duckdb,oltp,1,single_group_by,indexed_point_lookup,1,0.001821,118.47,83.70
duckdb,oltp,1,single_group_by,indexed_point_lookup,2,0.002132,118.64,78.00
duckdb,oltp,1,single_group_by,indexed_point_lookup,3,0.001583,118.64,90.90
duckdb,oltp,1,single_group_by,indexed_point_lookup,4,0.001728,118.64,91.30
duckdb,oltp,1,single_group_by,indexed_point_lookup,5,0.001764,118.66,114.90
duckdb,oltp,1,single_group_by,range_scan,1,0.017230,118.66,102.70
duckdb,oltp,1,single_group_by,range_scan,2,0.009319,118.81,80.50
duckdb,oltp,1,single_group_by,range_scan,3,0.016380,118.84,90.60
duckdb,oltp,1,single_group_by,range_scan,4,0.009130,118.88,76.20
duckdb,oltp,1,single_group_by,range_scan,5,0.014592,118.98,89.30
duckdb,oltp,1,multi_group_by,full_scan,1,0.300032,639.56,366.97
duckdb,oltp,1,multi_group_by,full_scan,2,0.275804,779.92,355.46
duckdb,oltp,1,multi_group_by,full_scan,3,0.381401,981.11,328.12
duckdb,oltp,1,multi_group_by,full_scan,4,0.321016,1040.58,356.38
duckdb,oltp,1,multi_group_by,full_scan,5,0.389592,1108.50,341.76
duckdb,oltp,1,multi_group_by,indexed_point_lookup,1,0.009480,1108.52,93.10
duckdb,oltp,1,multi_group_by,indexed_point_lookup,2,0.002714,1109.02,90.50
duckdb,oltp,1,multi_group_by,indexed_point_lookup,3,0.003700,1109.03,85.80
duckdb,oltp,1,multi_group_by,indexed_point_lookup,4,0.003739,1109.06,186.60
duckdb,oltp,1,multi_group_by,indexed_point_lookup,5,0.003367,1109.09,91.40
duckdb,oltp,1,multi_group_by,range_scan,1,0.020250,1109.12,91.40
duckdb,oltp,1,multi_group_by,range_scan,2,0.022926,1110.56,84.70
duckdb,oltp,1,multi_group_by,range_scan,3,0.017184,1107.81,95.70
duckdb,oltp,1,multi_group_by,range_scan,4,0.016973,1102.34,83.80
duckdb,oltp,1,multi_group_by,range_scan,5,0.016990,1102.55,90.00
duckdb,oltp,1,nested_subquery,full_scan,1,0.329442,1173.53,340.96
duckdb,oltp,1,nested_subquery,full_scan,2,0.330996,1173.73,336.47
duckdb,oltp,1,nested_subquery,full_scan,3,0.257296,1151.20,376.10
duckdb,oltp,1,nested_subquery,full_scan,4,0.199393,1136.78,419.07
duckdb,oltp,1,nested_subquery,full_scan,5,0.258576,1093.02,371.30
duckdb,oltp,1,nested_subquery,indexed_point_lookup,1,0.158108,1061.41,299.70
duckdb,oltp,1,nested_subquery,indexed_point_lookup,2,0.118989,975.83,334.30
duckdb,oltp,1,nested_subquery,indexed_point_lookup,3,0.086786,975.83,335.35
duckdb,oltp,1,nested_subquery,indexed_point_lookup,4,0.177492,969.48,296.80
duckdb,oltp,1,nested_subquery,indexed_point_lookup,5,0.152199,967.56,323.70
duckdb,oltp,1,nested_subquery,range_scan,1,0.308203,974.19,271.02
duckdb,oltp,1,nested_subquery,range_scan,2,0.239413,907.89,300.88
duckdb,oltp,1,nested_subquery,range_scan,3,0.250981,908.45,308.80
duckdb,oltp,1,nested_subquery,range_scan,4,0.246608,904.05,315.26
duckdb,oltp,1,nested_subquery,range_scan,5,0.131888,905.95,396.70
duckdb,olap,1,single_group_by,full_scan,1,0.046157,46.11,84.80
duckdb,olap,1,single_group_by,full_scan,2,0.017229,111.50,89.50
duckdb,olap,1,single_group_by,full_scan,3,0.014235,113.84,67.20
duckdb,olap,1,single_group_by,full_scan,4,0.012305,114.89,75.90
duckdb,olap,1,single_group_by,full_scan,5,0.013616,115.30,88.70
duckdb,olap,1,single_group_by,indexed_point_lookup,1,0.002449,115.78,85.90
duckdb,olap,1,single_group_by,indexed_point_lookup,2,0.001733,115.92,90.00
duckdb,olap,1,single_group_by,indexed_point_lookup,3,0.002264,115.92,86.40
duckdb,olap,1,single_group_by,indexed_point_lookup,4,0.001913,115.92,91.90
duckdb,olap,1,single_group_by,indexed_point_lookup,5,0.001994,115.92,91.10
duckdb,olap,1,single_group_by,range_scan,1,0.011684,115.94,91.60
duckdb,olap,1,single_group_by,range_scan,2,0.009726,117.00,92.30
duckdb,olap,1,single_group_by,range_scan,3,0.011156,118.28,90.30
duckdb,olap,1,single_group_by,range_scan,4,0.012373,118.94,88.50
duckdb,olap,1,single_group_by,range_scan,5,0.010760,119.00,91.20
duckdb,olap,1,multi_group_by,full_scan,1,0.389794,700.97,346.74
duckdb,olap,1,multi_group_by,full_scan,2,0.366599,743.73,347.89
duckdb,olap,1,multi_group_by,full_scan,3,0.337717,850.12,367.01
duckdb,olap,1,multi_group_by,full_scan,4,0.290641,960.36,359.05
duckdb,olap,1,multi_group_by,full_scan,5,0.360619,1001.42,360.30
duckdb,olap,1,multi_group_by,indexed_point_lookup,1,0.011158,1001.95,89.50
duckdb,olap,1,multi_group_by,indexed_point_lookup,2,0.010368,998.70,87.70
duckdb,olap,1,multi_group_by,indexed_point_lookup,3,0.006649,995.20,86.00
duckdb,olap,1,multi_group_by,indexed_point_lookup,4,0.005546,995.25,100.80
duckdb,olap,1,multi_group_by,indexed_point_lookup,5,0.006707,995.30,46.30
duckdb,olap,1,multi_group_by,range_scan,1,0.028956,995.38,91.30
duckdb,olap,1,multi_group_by,range_scan,2,0.025091,988.44,91.10
duckdb,olap,1,multi_group_by,range_scan,3,0.026573,977.34,93.50
duckdb,olap,1,multi_group_by,range_scan,4,0.029206,977.86,102.70
duckdb,olap,1,multi_group_by,range_scan,5,0.032427,978.77,84.40
duckdb,olap,1,nested_subquery,full_scan,1,0.170993,980.66,298.07
duckdb,olap,1,nested_subquery,full_scan,2,0.081636,972.22,345.10
duckdb,olap,1,nested_subquery,full_scan,3,0.089660,972.23,312.40
duckdb,olap,1,nested_subquery,full_scan,4,0.086971,949.42,353.20
duckdb,olap,1,nested_subquery,full_scan,5,0.087339,949.59,353.50
duckdb,olap,1,nested_subquery,indexed_point_lookup,1,0.049775,949.64,86.90
duckdb,olap,1,nested_subquery,indexed_point_lookup,2,0.050225,936.44,59.20
duckdb,olap,1,nested_subquery,indexed_point_lookup,3,0.051671,932.52,99.10
duckdb,olap,1,nested_subquery,indexed_point_lookup,4,0.083396,932.73,252.45
duckdb,olap,1,nested_subquery,indexed_point_lookup,5,0.083810,930.56,228.75
duckdb,olap,1,nested_subquery,range_scan,1,0.048138,930.59,78.40
duckdb,olap,1,nested_subquery,range_scan,2,0.055583,931.81,303.55
duckdb,olap,1,nested_subquery,range_scan,3,0.043319,930.55,66.20
duckdb,olap,1,nested_subquery,range_scan,4,0.069325,932.00,285.70
duckdb,olap,1,nested_subquery,range_scan,5,0.084142,932.12,244.85
duckdb,oltp,5,single_group_by,full_scan,1,0.674339,356.14,152.72
duckdb,oltp,5,single_group_by,full_scan,2,0.175489,357.69,388.05
duckdb,oltp,5,single_group_by,full_scan,3,0.199649,357.84,376.23
duckdb,oltp,5,single_group_by,full_scan,4,0.201045,357.89,352.00
duckdb,oltp,5,single_group_by,full_scan,5,0.176812,357.94,369.20
duckdb,oltp,5,single_group_by,indexed_point_lookup,1,0.003310,357.95,37.90
duckdb,oltp,5,single_group_by,indexed_point_lookup,2,0.002870,358.38,82.20
duckdb,oltp,5,single_group_by,indexed_point_lookup,3,0.002544,358.38,89.70
duckdb,oltp,5,single_group_by,indexed_point_lookup,4,0.002246,358.38,87.70
duckdb,oltp,5,single_group_by,indexed_point_lookup,5,0.002118,358.38,90.30
duckdb,oltp,5,single_group_by,range_scan,1,0.046604,358.38,82.10
duckdb,oltp,5,single_group_by,range_scan,2,0.047170,358.73,85.10
duckdb,oltp,5,single_group_by,range_scan,3,0.063838,358.92,299.10
duckdb,oltp,5,single_group_by,range_scan,4,0.066297,359.02,288.80
duckdb,oltp,5,single_group_by,range_scan,5,0.060868,359.06,298.25
duckdb,oltp,5,multi_group_by,full_scan,1,2.205461,1989.05,369.12
duckdb,oltp,5,multi_group_by,full_scan,2,2.427857,2230.36,352.47
duckdb,oltp,5,multi_group_by,full_scan,3,2.289071,2160.78,378.60
duckdb,oltp,5,multi_group_by,full_scan,4,2.389102,2229.03,371.94
duckdb,oltp,5,multi_group_by,full_scan,5,2.278500,2273.33,377.33
duckdb,oltp,5,multi_group_by,indexed_point_lookup,1,0.012410,2074.86,78.80
duckdb,oltp,5,multi_group_by,indexed_point_lookup,2,0.005357,2031.91,82.20
duckdb,oltp,5,multi_group_by,indexed_point_lookup,3,0.004886,2032.39,84.30
duckdb,oltp,5,multi_group_by,indexed_point_lookup,4,0.004450,2032.97,73.80
duckdb,oltp,5,multi_group_by,indexed_point_lookup,5,0.004111,2025.17,91.20
duckdb,oltp,5,multi_group_by,range_scan,1,0.120034,2025.28,353.93
duckdb,oltp,5,multi_group_by,range_scan,2,0.165564,1995.41,312.00
duckdb,oltp,5,multi_group_by,range_scan,3,0.161042,1999.06,324.93
duckdb,oltp,5,multi_group_by,range_scan,4,0.207064,2002.67,299.38
duckdb,oltp,5,multi_group_by,range_scan,5,0.187043,1979.06,290.88
duckdb,oltp,5,nested_subquery,full_scan,1,1.854608,1971.31,351.50
duckdb,oltp,5,nested_subquery,full_scan,2,1.891217,1533.56,356.72
duckdb,oltp,5,nested_subquery,full_scan,3,1.686324,1408.66,380.48
duckdb,oltp,5,nested_subquery,full_scan,4,1.891247,1399.28,366.66
duckdb,oltp,5,nested_subquery,full_scan,5,1.882485,1407.66,361.85
duckdb,oltp,5,nested_subquery,indexed_point_lookup,1,0.857084,1410.89,370.34
duckdb,oltp,5,nested_subquery,indexed_point_lookup,2,0.951727,1412.75,348.08
duckdb,oltp,5,nested_subquery,indexed_point_lookup,3,0.915378,1413.67,360.38
